scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.00621414913957935
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.08370078432902797
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.20947633355445427
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,2.536387403909939e-4
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0.008506653139267179
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.12394154602567604
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,0
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,0
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.07727201779373317
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,8.779802551995941e-5
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,0.0012194170211105475
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.08797362157099933
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,1.951067233776876e-5
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,1.5608537870215008e-4
