bblid,scanid,idemoExclude,idemoExcludeVoxelwise,idemoNoDataExclude,idemoRelMeanRMSMotion,idemoRelMeanRMSMotionExclude,idemoRelMaxRMSMotion,idemoRelMaxRMSMotionExclude,idemoNormCrossCorr,idemoNormCoverage,idemoCoregCrossCorr,idemoCoregCoverage,idemoVoxelwiseCoverageExclude,idemoMeanActivationExclude,idemoRpsMapCorrectionNotApplied
80961,2632,0,0,0,0.114759,0,1.786,0,0.84763119,0.9975328598,0.82173538,0.9980952917,0,0,1
80199,2637,0,0,0,0.0269399,0,0.213866,0,0.84039065,0.9967937812,0.81325614,0.9960597484,0,0,1
80179,2643,0,0,0,0.053487,0,0.252218,0,0.85647902,0.9907216386,0.84230255,0.9914713684,0,0,1
81005,2644,0,0,0,0.0359724,0,0.198574,0,0.83141976,0.993433366,0.80285009,0.9932697322,0,0,1
80812,2646,0,1,0,0.0970671,0,0.822952,0,0.84399059,0.9415436642,0.82126235,0.9417095172,1,0,1
80607,2647,0,0,0,0.0877415,0,0.688901,0,0.85134978,0.9992449701,0.82164834,0.9995412091,0,0,1
80249,2648,0,1,0,0.0747583,0,0.341403,0,0.84305885,0.9662735549,0.81124458,0.9687567003,1,0,1
81098,2653,0,0,0,0.0618205,0,0.725329,0,0.8529034,0.99749564,0.82772306,0.9974836098,0,0,1
80854,2675,0,0,0,0.0497915,0,0.304147,0,0.85323679,0.9977242759,0.82627576,0.9986859623,0,0,1
81826,2682,0,0,0,0.0430199,0,0.321694,0,0.83826465,0.9981868647,0.80834304,0.9992088438,0,0,1
82232,2706,0,0,0,0.0414202,0,0.212792,0,0.84533666,0.9959430431,0.81684384,0.996733225,0,0,1
81604,2720,0,0,0,0.152393,0,1.65202,0,0.8261183,0.9914873028,0.79991991,0.9901951779,0,0,1
81982,2723,0,0,0,0.0250782,0,0.114366,0,0.84226503,0.9739036114,0.81797987,0.9760275272,0,0,1
80575,2725,0,0,0,0.0274154,0,0.320978,0,0.84002768,0.9679378111,0.81224935,0.9679366237,0,0,1
80425,2726,0,0,0,0.379144,0,3.24886,0,0.8779751,0.9669594624,0.86116432,0.9703413794,0,0,1
81989,2727,0,1,0,0.0614133,0,0.306073,0,0.8551629,0.9610681016,0.83377155,0.9649387545,1,0,1
82458,2728,0,0,0,0.0299418,0,0.0746459,0,0.83440058,0.9651835468,0.80596774,0.9720461068,0,0,1
81287,2738,0,0,0,0.0517325,0,0.32455,0,0.84229004,0.9934865371,0.81543365,0.9947455413,0,0,0
80680,2739,0,0,0,0.0355435,0,0.230755,0,0.84096965,0.9970596368,0.80542457,0.9972985076,0,0,0
81754,2740,0,0,0,0.102378,0,2.23907,0,0.85150111,0.9961025565,0.83099162,0.9974398186,0,0,0
81903,2749,0,0,0,0.0312586,0,0.101714,0,0.84481118,0.9902590498,0.82490278,0.9898065181,0,0,0
81043,2750,0,0,0,0.0781716,0,0.703358,0,0.8467687,0.9779339828,0.83130842,0.9795049729,0,0,0
81939,2751,0,0,0,0.0395971,0,0.206782,0,0.84367411,0.9847079842,0.81480034,0.9847253288,0,0,0
81595,2752,0,0,0,0.0397805,0,0.342128,0,0.83486002,0.9842507125,0.8178875,0.9845738452,0,0,0
80895,2753,0,0,0,0.0435328,0,0.136512,0,0.84624621,0.99348122,0.83379038,0.9945350943,0,0,0
83080,2792,0,0,0,0.0762888,0,0.611055,0,0.83886125,0.9674645881,0.81574698,0.9715300766,0,0,0
81544,2793,0,0,0,0.0648146,0,0.589578,0,0.83994832,0.9727125782,0.81914265,0.9734459347,0,0,0
80289,2794,0,0,0,0.0503175,0,0.152051,0,0.85500697,0.972606236,0.82981337,0.9744564853,0,0,0
83103,2795,0,0,0,0.0606065,0,0.297825,0,0.82667446,0.9691394785,0.80209486,0.9705949969,0,0,0
83372,2796,0,0,0,0.026186,0,0.123306,0,0.83749479,0.979646093,0.80522389,0.9886994628,0,0,0
80396,2798,0,0,0,0.0199313,0,0.115775,0,0.84069248,0.9884778171,0.79320613,0.9926314881,0,0,0
83937,2811,0,0,0,0.110608,0,1.02838,0,0.84484083,0.9938800035,0.82233806,0.9957753693,0,0,0
81659,2818,0,0,0,0.0451573,0,0.370093,0,0.8492667,0.9676719555,0.82612939,0.9718991979,0,0,0
80603,2821,0,0,0,0.0317,0,0.0956504,0,0.83780727,0.9950976222,0.80591032,0.9964608819,0,0,0
83525,2822,0,0,0,0.0295906,0,0.0764316,0,0.84065221,0.9979156919,0.82110549,0.9984745137,0,0,0
