scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.008438365786084989
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.09477309088071174
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.2246361259609006
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,5.560541616264097e-4
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0.020798376712061497
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.14850548249892692
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,0
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,0
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.06497053888476997
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,2.82904748897647e-4
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,0.004526475982362352
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.10775744332149687
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,0
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,1.2681937019549694e-4
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.07458930034728997
unscaled,wcor,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_bonferroni.nii.gz,0
unscaled,wcor,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_fdr05.nii.gz,0
unscaled,wcor,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_unadjusted.nii.gz,0.05222031451203808
alff,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_age_bonferroni.nii.gz,0.3787119054122605
alff,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_age_fdr05.nii.gz,0.7970109649978538
alff,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_age_unadjusted.nii.gz,0.8069906738986226
alff,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_sex_bonferroni.nii.gz,0.07767198657665743
alff,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_sex_fdr05.nii.gz,0.6529246497834316
alff,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_sex_unadjusted.nii.gz,0.6921118351738401
alff,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_sex-age_bonferroni.nii.gz,0.04499161041089476
alff,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_sex-age_fdr05.nii.gz,0.5850372653841651
alff,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/alff_sex-age_unadjusted.nii.gz,0.6395110625512155
cbf-basil,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_age_bonferroni.nii.gz,0.8772681156592657
cbf-basil,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_age_fdr05.nii.gz,0.9818550747258751
cbf-basil,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_age_unadjusted.nii.gz,0.9819136067428884
cbf-basil,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_sex_bonferroni.nii.gz,0.022612869239473993
cbf-basil,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_sex_fdr05.nii.gz,0.5725601904241621
cbf-basil,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_sex_unadjusted.nii.gz,0.6421547586529832
cbf-basil,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_bonferroni.nii.gz,0
cbf-basil,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_fdr05.nii.gz,0
cbf-basil,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_unadjusted.nii.gz,0.027627112030280565
