network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
1,global_age,705,14277,14982,0.04705646776131358,0.001730048782382579
2,global_age,449,10113,10562,0.04251088808937701,0.001963106808969547
3,global_age,333,12550,12883,0.025848016766281144,0.0013980363690983433
4,global_age,537,8745,9282,0.05785391079508727,0.002423286169386003
5,global_age,58,1261,1319,0.04397270659590599,0.005645525153713362
6,global_age,1778,8542,10320,0.17228682170542636,0.003717287197113056
7,global_age,2996,18002,20998,0.14268025526240594,0.002413594936837687
1,global_sex,313,14669,14982,0.020891736750767588,0.0011684704504547462
2,global_sex,149,10413,10562,0.014107176671085022,0.001147524122272097
3,global_sex,232,12651,12883,0.018008227897228907,0.0011716041736729774
4,global_sex,292,8990,9282,0.03145873734109028,0.0018117944520855296
5,global_sex,15,1304,1319,0.011372251705837756,0.002919558837157003
6,global_sex,242,10078,10320,0.023449612403100777,0.0014896193806961083
7,global_sex,452,20546,20998,0.021525859605676732,0.001001534610986166
1,unscaled_age,94,14888,14982,0.006274195701508477,6.451005583087335e-4
2,unscaled_age,230,10332,10562,0.021776178754023857,0.001420158678299236
3,unscaled_age,94,12789,12883,0.00729643716525654,7.498194649308146e-4
4,unscaled_age,78,9204,9282,0.008403361344537815,9.474870006056169e-4
5,unscaled_age,20,1299,1319,0.015163002274450341,0.003364746732448354
6,unscaled_age,122,10198,10320,0.011821705426356589,0.0010639418036468853
7,unscaled_age,296,20702,20998,0.014096580626726356,8.135516131902964e-4
1,unscaled_sex,127,14855,14982,0.008476838873314645,7.490029004054742e-4
2,unscaled_sex,46,10516,10562,0.0043552357508047715,6.407446074637777e-4
3,unscaled_sex,79,12804,12883,0.006132112085694326,0.00068779793595464525
4,unscaled_sex,78,9204,9282,0.008403361344537815,9.474870006056169e-4
5,unscaled_sex,7,1312,1319,0.00530705079605762,0.0020005469320218154
6,unscaled_sex,84,10236,10320,0.00813953488372093,8.844743356076571e-4
7,unscaled_sex,112,20886,20998,0.005333841318220783,5.026547039050593e-4
