network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
4100,alff_age,1012,145,1157,0.874675885911841,0.009733616224313933
4200,alff_age,253,3,256,0.98828125,0.006726063141580034
7000,alff_age,624,654,1278,0.48826291079812206,0.0139825019404303
7010,alff_age,907,627,1534,0.5912646675358539,0.012551608208421418
7020,alff_age,153,270,423,0.3617021276595745,0.02336237799728886
7100,alff_age,967,823,1790,0.5402234636871508,0.011779683128996203
4100,alff_sex,866,291,1157,0.7484874675885912,0.012755732470079318
4200,alff_sex,174,82,256,0.6796875,0.02916228851882639
7000,alff_sex,845,433,1278,0.661189358372457,0.013239635292631962
7010,alff_sex,1461,73,1534,0.9524119947848761,0.005435612624068872
7020,alff_sex,373,50,423,0.8817966903073287,0.01569744127486089
7100,alff_sex,1368,422,1790,0.7642458100558659,0.010032743929962566
4100,cbf-basil_age,1150,7,1157,0.9939498703543648,0.0022798060496337434
4200,cbf-basil_age,256,0,256,1,0
7000,cbf-basil_age,1261,17,1278,0.986697965571205,0.003204687771974855
7010,cbf-basil_age,1530,4,1534,0.9973924380704041,0.0013020800104340134
7020,cbf-basil_age,423,0,423,1,0
7100,cbf-basil_age,1790,0,1790,1,0
4100,cbf-basil_sex,605,552,1157,0.5229040622299049,0.014684095074964154
4200,cbf-basil_sex,124,132,256,0.484375,0.031234737483827102
7000,cbf-basil_sex,771,507,1278,0.6032863849765259,0.013684687611424877
7010,cbf-basil_sex,1157,377,1534,0.7542372881355932,0.010992571905907989
7020,cbf-basil_sex,401,22,423,0.9479905437352246,0.010796251070262589
7100,cbf-basil_sex,1776,14,1790,0.9921787709497206,0.002082120940898128
4100,reho_age,1037,120,1157,0.8962834917891098,0.00896354829533054
4200,reho_age,240,16,256,0.9375,0.015128841196122723
7000,reho_age,1134,144,1278,0.8873239436619719,0.008844870783419143
7010,reho_age,1492,42,1534,0.9726205997392438,0.004166496461704493
7020,reho_age,423,0,423,1,0
7100,reho_age,1662,128,1790,0.9284916201117318,0.006090331723268804
4100,reho_sex,383,774,1157,0.331028522039758,0.013834702638380825
4200,reho_sex,30,226,256,0.1171875,0.020102723486561426
7000,reho_sex,31,1247,1278,0.024256651017214397,0.004303460221001577
7010,reho_sex,547,987,1534,0.35658409387222945,0.012229654841494091
7020,reho_sex,126,297,423,0.2978723404255319,0.02223580957612713
7100,reho_sex,75,1715,1790,0.04189944134078212,0.004735688711607552
