network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
1,alff_age,14917,65,14982,0.9956614604191697,5.369609882159322e-4
2,alff_age,10457,105,10562,0.9900587010035978,9.653370142572419e-4
3,alff_age,12576,307,12883,0.97617014670496,0.0013437390612867593
4,alff_age,8258,1024,9282,0.8896789485024779,0.0032518093200749965
5,alff_age,838,481,1319,0.6353297952994693,0.01325340148320648
6,alff_age,6915,3405,10320,0.6700581395348837,0.004628444968595736
7,alff_age,13932,7066,20998,0.6634917611201067,0.0032608186959352746
1,alff_sex,13903,1079,14982,0.9279802429582166,0.002112079662108883
2,alff_sex,8350,2212,10562,0.790569967809127,0.00395928308337658
3,alff_sex,8958,3925,12883,0.6953349375145541,0.004055083948368423
4,alff_sex,7332,1950,9282,0.7899159663865546,0.004228303841470863
5,alff_sex,899,420,1319,0.6815769522365428,0.012827360424048155
6,alff_sex,7132,3188,10320,0.6910852713178295,0.004548259943761603
7,alff_sex,13555,7443,20998,0.64553767025431,0.0033010862633380583
1,cbf-basil_age,14968,14,14982,0.999065545321052,2.496268037346417e-4
2,cbf-basil_age,9872,690,10562,0.9346714637379284,0.0024044063927483217
3,cbf-basil_age,12662,221,12883,0.9828456104944501,0.0011439888227720927
4,cbf-basil_age,9116,166,9282,0.9821159232923938,0.001375605349808962
5,cbf-basil_age,1282,37,1319,0.9719484457922669,0.004546505086557728
6,cbf-basil_age,9727,593,10320,0.9425387596899225,0.0022908531925922657
7,cbf-basil_age,20095,903,20998,0.9569959043718449,0.001399977266142817
1,cbf-basil_sex,10556,4426,14982,0.7045788279268456,0.003727354560188683
2,cbf-basil_sex,4499,6063,10562,0.4259609922363189,0.0048115226657016825
3,cbf-basil_sex,5701,7182,12883,0.44252115190561203,0.00437595362376522
4,cbf-basil_sex,4383,4899,9282,0.47220426632191337,0.0051817577894936705
5,cbf-basil_sex,678,641,1319,0.5140257771038665,0.013761845199789945
6,cbf-basil_sex,7768,2552,10320,0.7527131782945736,0.0042469328822826785
7,cbf-basil_sex,13233,7765,20998,0.6302028764644252,0.003331447619328144
1,reho_age,13600,1382,14982,0.907755973835269,0.002364116023717621
2,reho_age,10171,391,10562,0.9629804961181594,0.001837176836577405
3,reho_age,12538,345,12883,0.9732205231700691,0.0014223227941522433
4,reho_age,8412,870,9282,0.9062702003878474,0.0030251499893689713
5,reho_age,1255,64,1319,0.9514783927217589,0.005916224649695855
6,reho_age,9872,448,10320,0.9565891472868217,0.0020059589178799747
7,reho_age,18332,2666,20998,0.873035527193066,0.0022975665499029704
1,reho_sex,6130,8852,14982,0.40915765585369107,0.004016948379446767
2,reho_sex,4538,6024,10562,0.4296534747206968,0.004816765267738544
3,reho_sex,7336,5547,12883,0.5694325855778933,0.0043624778418808125
4,reho_sex,2997,6285,9282,0.3228829993535876,0.004853261210183809
5,reho_sex,699,620,1319,0.5299469294920395,0.01374254726452356
6,reho_sex,3622,6698,10320,0.350968992248062,0.004698154003390873
7,reho_sex,8336,12662,20998,0.3969901895418611,0.0033764716725860015
