scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.007257970109649978
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.09354391852343232
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.23459632418933157
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,5.560541616264097e-4
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0.02336403012447809
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.15448550357045304
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,0
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,0
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.06778983103757756
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,6.048308424708316e-4
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,0.01590119795528154
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.1530709798259648
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,2.438834042221095e-4
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,0.005628828969446287
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.11671284192453273
unscaled,wcor,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_bonferroni.nii.gz,0
unscaled,wcor,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_fdr05.nii.gz,0
