scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.005023998126975455
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.07002380302025207
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.20520349631248294
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,1.951067233776876e-5
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0.003316814297420689
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.10951340383189605
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,4.87766808444219e-5
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,0.004194794552620284
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.1124204940102236
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,2.1461739571545634e-4
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,0.00841885511374722
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.1322823584500722
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,1.951067233776876e-5
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,3.902134467553752e-5
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.09088071174932688
unscaled,wcor,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_bonferroni.nii.gz,0
unscaled,wcor,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_fdr05.nii.gz,0
unscaled,wcor,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_unadjusted.nii.gz,0.07407226753033909
alff,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/modality_adjusted/alff_age_bonferroni.nii.gz,0.3787119054122605
alff,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/modality_adjusted/alff_age_fdr05.nii.gz,0.7970109649978538
alff,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/modality_adjusted/alff_age_unadjusted.nii.gz,0.8069906738986226
alff,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/modality_adjusted/alff_sex_bonferroni.nii.gz,0.07767198657665743
alff,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/modality_adjusted/alff_sex_fdr05.nii.gz,0.6529246497834316
alff,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO/output/niftis/pvals/modality_adjusted/alff_sex_unadjusted.nii.gz,0.6921118351738401
