scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.009140749990244664
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.054093339056463886
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.17703008545674484
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,2.6339407655987825e-4
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0.010233347641159714
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.1363893549771725
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,1.951067233776876e-4
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,0.0012974597104616224
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.09075389237913138
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,8.779802551995942e-4
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,0.007218948764974441
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.10719163382370156
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,2.926600850665314e-5
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,1.1706403402661256e-4
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA_abs/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.0765696335895735
