bblid,scanid,idemoBehAllEmoCorrectAverage,idemoBehAllEmoCorrectCount,idemoBehAllEmoCorrectMedian,idemoBehAllEmoCorrectStddev,idemoBehAllEmoIncorrectAverage,idemoBehAllEmoIncorrectCount,idemoBehAllEmoIncorrectMedian,idemoBehAllEmoIncorrectStddev,idemoBehAllEmoNrCount,idemoBehAngerCorrectAverage,idemoBehAngerCorrectCount,idemoBehAngerCorrectMedian,idemoBehAngerCorrectStddev,idemoBehAngerIncorrectAverage,idemoBehAngerIncorrectCount,idemoBehAngerIncorrectMedian,idemoBehAngerIncorrectStddev,idemoBehAngerNrCount,idemoBehFearCorrectAverage,idemoBehFearCorrectCount,idemoBehFearCorrectMedian,idemoBehFearCorrectStddev,idemoBehFearIncorrectAverage,idemoBehFearIncorrectCount,idemoBehFearIncorrectMedian,idemoBehFearIncorrectStddev,idemoBehFearNrCount,idemoBehHappyCorrectAverage,idemoBehHappyCorrectCount,idemoBehHappyCorrectMedian,idemoBehHappyCorrectStddev,idemoBehHappyIncorrectAverage,idemoBehHappyIncorrectCount,idemoBehHappyIncorrectMedian,idemoBehHappyIncorrectStddev,idemoBehHappyNrCount,idemoBehNoECorrectAverage,idemoBehNoECorrectCount,idemoBehNoECorrectMedian,idemoBehNoECorrectStddev,idemoBehNoEIncorrectAverage,idemoBehNoEIncorrectCount,idemoBehNoEIncorrectMedian,idemoBehNoEIncorrectStddev,idemoBehNoENrCount,idemoBehSadCorrectAverage,idemoBehSadCorrectCount,idemoBehSadCorrectMedian,idemoBehSadCorrectStddev,idemoBehSadIncorrectAverage,idemoBehSadIncorrectCount,idemoBehSadIncorrectMedian,idemoBehSadIncorrectStddev,idemoBehSadNrCount,idemoBehNonthreatCorrectAverage,idemoBehNonthreatCorrectCount,idemoBehNonthreatCorrectMedian,idemoBehNonthreatCorrectStddev,idemoBehNonthreatIncorrectAverage,idemoBehNonthreatIncorrectCount,idemoBehNonthreatIncorrectMedian,idemoBehNonthreatIncorrectStddev,idemoBehNonthreatNrCount,idemoBehThreatAllNrCount,idemoBehThreatCorrectAverage,idemoBehThreatCorrectCount,idemoBehThreatCorrectMedian,idemoBehThreatCorrectStddev,idemoBehThreatIncorrectAverage,idemoBehThreatIncorrectCount,idemoBehThreatIncorrectMedian,idemoBehThreatIncorrectStddev
80010,2894,2407.6033,59,2222.2,940.5414,1876.7,1,1876.7,0,0,2594.5,12,2599.1,932.1857,0,0,0,0,0,2373.491,11,2182.2,903.90875,1876.7,1,1876.7,0,0,1889.925,12,1748.2,693.6049,0,0,0,0,0,2313.3333,12,2089.1,950.01965,0,0,0,0,0,2863.925,12,2841.9,1049.0491,0,0,0,0,0,2376.925,24,2196.5498,1001.9452,0,0,0,0,0,0,2488.8,23,2479.6,904.77295,1876.7,1,1876.7,0
80179,2643,2185.7163,49,2102.3,566.20465,2833.3635,11,2649.9,580.9722,0,2190.9111,9,2484.4,475.4001,2626.0332,3,2640.4,34.660072,0,2710.425,8,2823.65,390.3067,3269.725,4,3280.9,498.1262,0,2092.425,12,2082.5,586.7157,0,0,0,0,0,1982.491,11,1939.2,587.0416,2559,1,2559,0,0,2086.889,9,2094.3,551.31433,2550.3333,3,2389.4,843.2969,0,2090.0522,21,2094.3,557.5987,2550.3333,3,2389.4,843.2969,0,0,2435.3882,17,2520.4,501.0926,2993.8572,7,2651.2,492.79596
80199,2637,2337.6897,58,2105.1,875.49976,2471.75,2,2471.75,458.41718,0,2469.6667,12,2176.8,775.4009,0,0,0,0,0,2545.2917,12,2658.4,891.047,0,0,0,0,0,1968.5917,12,1983.55,827.8002,0,0,0,0,0,2175.2,11,2376.2,795.8647,2795.9,1,2795.9,0,0,2532.3818,11,2241.8,1067.8478,2147.6,1,2147.6,0,0,2238.2305,23,1986.1,971.5266,2147.6,1,2147.6,0,0,0,2507.4792,24,2505.65,817.7817,0,0,0,0
80208,3016,3146.8237,42,3117.1,1208.143,2264.5,4,1946.55,2090.2676,14,3378.04,10,3341,1217.6111,0,0,0,0,2,3312.5625,8,3563.9,1494.9973,73.7,1,73.7,0,3,2890.1501,8,2506.4,1187.2794,1706.1,1,1706.1,0,3,3032.8376,8,3186.1,1377.8627,0,0,0,0,4,3062.7249,8,2914.35,945.4228,3639.1,2,3639.1,2053.5796,2,2976.4375,16,2700.25,1040.6191,2994.7666,3,2187,1831.4178,5,5,3348.939,18,3490.25,1306.2601,73.7,1,73.7,0
80249,2648,2015.1155,58,1949,526.1769,2338.45,2,2338.45,749.6039,0,1928.7909,11,1838.1,283.04254,1808.4,1,1808.4,0,0,2115.8167,12,1952,842.5342,0,0,0,0,0,1737.4834,12,1693.7,389.57004,0,0,0,0,0,2129.8,12,2107.05,471.8455,0,0,0,0,0,2169.3455,11,2195.4,387.93982,2868.5,1,2868.5,0,0,1944.0261,23,1892.2,439.25357,2868.5,1,2868.5,0,0,0,2026.3696,23,1854.3,632.8284,1808.4,1,1808.4,0
80263,6635,2710.6387,49,2336,1230.0762,3291.4001,6,2930.55,1194.9927,5,2949.74,10,2795.85,1278.3433,2930.55,2,2930.55,403.12164,0,3142.3777,9,2792.4,1574.72,5458.1,1,5458.1,0,2,2007.5083,12,1999,548.9013,0,0,0,0,0,2299.1,10,2268.5,1009.6133,0,0,0,0,2,3495.175,8,3449.65,1241.8362,2809.7334,3,2345.6,814.40393,1,2602.575,20,2281.6,1140.9242,2809.7334,3,2345.6,814.40393,1,2,3040.9895,19,2792.4,1388.868,3773.0667,3,3215.6,1486.8613
80265,3145,1605.4667,57,1580.9,372.59445,1839.2666,3,2007.4,413.018,0,1547.509,11,1470.4,321.4063,2007.4,1,2007.4,0,0,1595.009,11,1545.4,404.68353,1368.7,1,1368.7,0,0,1709.175,12,1719.3501,436.7788,0,0,0,0,0,1583.3,12,1617.1001,333.83163,0,0,0,0,0,1584.9272,11,1596.4,400.17694,2141.7,1,2141.7,0,0,1649.7522,23,1651.7,414.9779,2141.7,1,2141.7,0,0,0,1571.259,22,1535.8501,357.4458,1688.05,2,1688.05,451.62915
80289,2794,2915.796,49,2786.4,852.57324,3758.543,7,3230.7,1053.2017,4,2759.83,10,2860.9,555.0107,3095.7,1,3095.7,0,1,2412.7556,9,1891.2,1026.4055,4256.85,2,4256.85,1095.8035,1,3186.4,11,3261.5,662.1268,0,0,0,0,1,2825.8667,12,2501.05,923.92334,0,0,0,0,0,3514.3,7,3389.2,814.9757,3675.1,4,3212.45,1223.4902,1,3313.9167,18,3325.35,720.66846,3675.1,4,3212.45,1223.4902,2,2,2595.4263,19,2732.3,808.66833,3869.8,3,3482,1024.6052
80373,7390,2502.124,50,2460.7,928.5881,2721.1875,8,2646.45,891.94354,2,2178.1667,6,1969.2,582.2272,3000.85,4,2964.45,1047.8654,2,3378.4,11,3113.5,1085.872,2324.1,1,2324.1,0,0,1854.7333,12,1949.95,491.7811,0,0,0,0,0,2834.7112,9,2680.9,744.4425,2480.6667,3,2860.5,902.99603,0,2258.8,12,2311.2998,729.87976,0,0,0,0,0,2056.7666,24,2000.5,642.682,0,0,0,0,0,2,2954.7883,17,2933.9,1091.9846,2865.5,5,2432.4,956.61615
80396,2798,2331.955,58,2308.75,661.3373,3500.7,1,3500.7,0,1,2512.7083,12,2495.65,536.9379,0,0,0,0,0,2671.4546,11,2549,588.68414,0,0,0,0,1,1909.6583,12,1951.5,385.5492,0,0,0,0,0,1907.225,12,1850.25,625.33,0,0,0,0,0,2719.3,11,2479.5,688.5841,3500.7,1,3500.7,0,0,2296.8782,23,2228.4,678.8601,3500.7,1,3500.7,0,0,1,2588.6304,23,2549,555.2004,0,0,0,0
