scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.0031412182463807703
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.04480625902368596
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.17254263081905802
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,2.926600850665314e-5
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,6.536075233152535e-4
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.09366098255745893
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,1.6584071487103446e-4
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,0.0038143364420337926
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.100489717875678
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASIL_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,1.6584071487103446e-4
