scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.002185195301830101
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.032690131501931556
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.17060131892145003
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,1.951067233776876e-5
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,2.536387403909939e-4
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.08821750497522145
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,9.75533616888438e-6
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,6.828735318219066e-4
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.0901197955281539
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,2.926600850665314e-5
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,9.75533616888438e-5
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.07558434463651617
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,0
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,0
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.06405353728489484
unscaled,wcor,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_bonferroni.nii.gz,0
unscaled,wcor,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_fdr05.nii.gz,0
unscaled,wcor,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_unadjusted.nii.gz,0.05311780543957545
cbf-basil,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_age_bonferroni.nii.gz,0.8772681156592657
cbf-basil,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_age_fdr05.nii.gz,0.9818550747258751
cbf-basil,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_age_unadjusted.nii.gz,0.9819136067428884
cbf-basil,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_bonferroni.nii.gz,0.022612869239473993
cbf-basil,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_fdr05.nii.gz,0.5725601904241621
cbf-basil,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_unadjusted.nii.gz,0.6421547586529832
cbf-basil,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_bonferroni.nii.gz,0
cbf-basil,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_fdr05.nii.gz,0
cbf-basil,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_unadjusted.nii.gz,0.027627112030280565
idemo,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_age_bonferroni.nii.gz,0.02421274437117103
idemo,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_age_fdr05.nii.gz,0.3102587115151988
idemo,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_age_unadjusted.nii.gz,0.4133628594841378
idemo,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex_bonferroni.nii.gz,0.002390057361376673
idemo,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex_fdr05.nii.gz,0.13511140593904866
idemo,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex_unadjusted.nii.gz,0.29874741483591527
idemo,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex-age_bonferroni.nii.gz,2.926600850665314e-5
idemo,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex-age_fdr05.nii.gz,4.975221446131034e-4
idemo,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/BASILc_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex-age_unadjusted.nii.gz,0.12177586139618371
