scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,7.511608850040972e-4
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.01735474304444531
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.140145159402193
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,0
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.08136925898466461
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,8.779802551995941e-5
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,4.292347914309127e-4
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.07397471416865026
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,4.87766808444219e-5
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,8.779802551995941e-5
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.07464783236430328
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,0
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,0
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.06229757677449565
unscaled,wcor,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_bonferroni.nii.gz,0
unscaled,wcor,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_fdr05.nii.gz,0
unscaled,wcor,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/IDEMO_BASIL/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_unadjusted.nii.gz,0.05321535880126429
