network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
4100,global_age,300,857,1157,0.25929127052722556,0.012884008417759772
4200,global_age,48,208,256,0.1875,0.024394523431243743
7000,global_age,251,1027,1278,0.19640062597809077,0.011112858942503585
7010,global_age,151,1383,1534,0.0984354628422425,0.0076060911267016584
7020,global_age,51,372,423,0.12056737588652482,0.015832372778505018
7100,global_age,343,1447,1790,0.19162011173184357,0.00930254499062684
4100,global_sex,300,857,1157,0.25929127052722556,0.012884008417759772
4200,global_sex,43,213,256,0.16796875,0.023364908334889797
7000,global_sex,17,1261,1278,0.013302034428794992,0.0032046877719748585
7010,global_sex,72,1462,1534,0.0469361147327249,0.005400101154740999
7020,global_sex,48,375,423,0.11347517730496454,0.01542146744807192
7100,global_sex,446,1344,1790,0.24916201117318434,0.010223215538960514
4100,unscaled_age,193,964,1157,0.16681071737251513,0.010960166028044501
4200,unscaled_age,27,229,256,0.10546875,0.019197278938595446
7000,unscaled_age,186,1092,1278,0.14553990610328638,0.009864418989429058
7010,unscaled_age,197,1337,1534,0.12842242503259452,0.00854202380310225
7020,unscaled_age,105,318,423,0.24822695035460993,0.021003789564203696
7100,unscaled_age,400,1390,1790,0.22346368715083798,0.00984595506305983
4100,unscaled_sex,36,1121,1157,0.03111495246326707,0.005104509521579863
4200,unscaled_sex,12,244,256,0.046875,0.013210692635223323
7000,unscaled_sex,25,1253,1278,0.019561815336463225,0.0038739076119090245
7010,unscaled_sex,36,1498,1534,0.02346805736636245,0.003865174606550262
7020,unscaled_sex,15,408,423,0.03546099290780142,0.008992183483763008
7100,unscaled_sex,45,1745,1790,0.025139664804469275,0.0037001934162029754
