network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
1,global_age,1607,13375,14982,0.10726204779068216,0.0025281343217362076
2,global_age,1232,9330,10562,0.11664457489111911,0.003123395146170327
3,global_age,1177,11706,12883,0.09136070790964837,0.00253844045877258
4,global_age,1144,8138,9282,0.12324929971988796,0.0034120038211067805
5,global_age,201,1118,1319,0.15238817285822592,0.009895818862335072
6,global_age,3875,6445,10320,0.375484496124031,0.004766809194091916
7,global_age,6690,14308,20998,0.31860177159729497,0.003215404591188295
1,global_sex,1223,13759,14982,0.08163129088239221,0.002236927840621614
2,global_sex,653,9909,10562,0.061825411853815564,0.002343431482613073
3,global_sex,1263,11620,12883,0.0980361716991384,0.0026198669071187024
4,global_sex,1546,7736,9282,0.1665589312648136,0.0038672355840251617
5,global_sex,46,1273,1319,0.034874905231235785,0.005051564753288855
6,global_sex,1039,9281,10320,0.10067829457364341,0.0029620038192956317
7,global_sex,2281,18717,20998,0.10862939327555005,0.002147404533989824
1,unscaled_age,1607,13375,14982,0.10726204779068216,0.0025281343217362076
2,unscaled_age,1232,9330,10562,0.11664457489111911,0.003123395146170327
3,unscaled_age,1177,11706,12883,0.09136070790964837,0.00253844045877258
4,unscaled_age,1144,8138,9282,0.12324929971988796,0.0034120038211067805
5,unscaled_age,201,1118,1319,0.15238817285822592,0.009895818862335072
6,unscaled_age,3875,6445,10320,0.375484496124031,0.004766809194091916
7,unscaled_age,6690,14308,20998,0.31860177159729497,0.003215404591188295
1,unscaled_sex,1223,13759,14982,0.08163129088239221,0.002236927840621614
2,unscaled_sex,653,9909,10562,0.061825411853815564,0.002343431482613073
3,unscaled_sex,1263,11620,12883,0.0980361716991384,0.0026198669071187024
4,unscaled_sex,1546,7736,9282,0.1665589312648136,0.0038672355840251617
5,unscaled_sex,46,1273,1319,0.034874905231235785,0.005051564753288855
6,unscaled_sex,1039,9281,10320,0.10067829457364341,0.0029620038192956317
7,unscaled_sex,2281,18717,20998,0.10862939327555005,0.002147404533989824
