network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
4100,alff_age,1023,134,1157,0.8841832324978393,0.009407845521782391
4200,alff_age,253,3,256,0.98828125,0.006726063141580034
7000,alff_age,638,640,1278,0.49921752738654146,0.013986338844933534
7010,alff_age,933,601,1534,0.6082138200782269,0.01246350001235883
7020,alff_age,155,268,423,0.3664302600472813,0.023427324601586336
7100,alff_age,1018,772,1790,0.5687150837988827,0.01170585102370234
4100,alff_sex,861,296,1157,0.7441659464131374,0.012827658596772342
4200,alff_sex,173,83,256,0.67578125,0.029255137913362057
7000,alff_sex,736,542,1278,0.5758998435054773,0.013824271984324947
7010,alff_sex,1385,149,1534,0.9028683181225554,0.007561012942920678
7020,alff_sex,360,63,423,0.851063829787234,0.017310554277591653
7100,alff_sex,1092,698,1790,0.6100558659217877,0.011528146424586522
4100,cbf-basil_age,1152,5,1157,0.9956784788245462,0.0019284625226095775
4200,cbf-basil_age,256,0,256,1,0
7000,cbf-basil_age,1261,17,1278,0.986697965571205,0.003204687771974855
7010,cbf-basil_age,1530,4,1534,0.9973924380704041,0.0013020800104340134
7020,cbf-basil_age,423,0,423,1,0
7100,cbf-basil_age,1790,0,1790,1,0
4100,cbf-basil_sex,729,428,1157,0.6300777873811582,0.01419337280773965
4200,cbf-basil_sex,156,100,256,0.609375,0.030493154289054678
7000,cbf-basil_sex,908,370,1278,0.7104851330203443,0.01268666597519013
7010,cbf-basil_sex,1265,269,1534,0.8246414602346805,0.009709198124701285
7020,cbf-basil_sex,417,6,423,0.9858156028368794,0.005749540024821113
7100,cbf-basil_sex,1782,8,1790,0.9955307262569832,0.0015765919214301611
4100,reho_age,1044,113,1157,0.902333621434745,0.00872749146251957
4200,reho_age,243,13,256,0.94921875,0.013721919430074605
7000,reho_age,1137,141,1278,0.8896713615023474,0.008763821189117532
7010,reho_age,1498,36,1534,0.9765319426336375,0.0038651746065502647
7020,reho_age,423,0,423,1,0
7100,reho_age,1680,110,1790,0.9385474860335196,0.0056763796833297206
4100,reho_sex,335,822,1157,0.2895419187554019,0.013333933162644166
4200,reho_sex,20,236,256,0.078125,0.016773011755193034
7000,reho_sex,27,1251,1278,0.02112676056338028,0.00402266860632794
7010,reho_sex,452,1082,1534,0.29465449804432853,0.01163978097692245
7020,reho_sex,106,317,423,0.25059101654846333,0.021070362756701322
7100,reho_sex,23,1767,1790,0.012849162011173185,0.002661966871300537
