scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.014213524798064541
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.1811078159753385
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.30680532251141374
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,0.002155929293323448
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0.09901666211417645
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.25039996878292425
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,6.828735318219065e-5
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,5.170328169508721e-4
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.07671596363210677
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,0.00298513286767862
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,0.08982713544308737
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.25294611152300306
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,5.950755063019471e-4
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,0.02924649783431537
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.17040621219807234
unscaled,wcor,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_bonferroni.nii.gz,0
unscaled,wcor,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_fdr05.nii.gz,0
unscaled,wcor,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_unadjusted.nii.gz,0.06392671791469934
alff,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_age_bonferroni.nii.gz,0.4797674327857338
alff,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_age_fdr05.nii.gz,0.8225504350879931
alff,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_age_unadjusted.nii.gz,0.8300717992742029
alff,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_sex_bonferroni.nii.gz,0.11730791743083467
alff,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_sex_fdr05.nii.gz,0.7351133570062824
alff,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_sex_unadjusted.nii.gz,0.7605650290709017
alff,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_sex-age_bonferroni.nii.gz,0
alff,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_sex-age_fdr05.nii.gz,0
alff,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/alff_sex-age_unadjusted.nii.gz,0.07190658290084677
cbf-basil,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_age_bonferroni.nii.gz,0.8933741756740937
cbf-basil,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_age_fdr05.nii.gz,0.9697487025402896
cbf-basil,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_age_unadjusted.nii.gz,0.969787723884965
cbf-basil,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_bonferroni.nii.gz,0.04075779451359894
cbf-basil,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_fdr05.nii.gz,0.6176883755414212
cbf-basil,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_unadjusted.nii.gz,0.6711573730830764
cbf-basil,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_bonferroni.nii.gz,0.00911148398173801
cbf-basil,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_fdr05.nii.gz,0.8113708198384516
cbf-basil,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_unadjusted.nii.gz,0.8327545167206462
reho,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_age_bonferroni.nii.gz,0.5634779724509307
reho,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_age_fdr05.nii.gz,0.9168845358411051
reho,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_age_unadjusted.nii.gz,0.9190111991259219
reho,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex_bonferroni.nii.gz,0.03468022008038397
reho,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex_fdr05.nii.gz,0.3946326140398798
reho,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex_unadjusted.nii.gz,0.48702540289538376
reho,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex-age_bonferroni.nii.gz,0
reho,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex-age_fdr05.nii.gz,5.853201701330628e-5
reho,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/fwhm5_ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex-age_unadjusted.nii.gz,0.06573145510594296
