network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
4100,global_age,19,1138,1157,0.016421780466724288,0.003736352936980962
4200,global_age,4,252,256,0.015625,0.007751224544134543
7000,global_age,69,1209,1278,0.0539906103286385,0.0063218096499019025
7010,global_age,71,1463,1534,0.046284224250325946,0.005364302965680493
7020,global_age,34,389,423,0.08037825059101655,0.01321915540258862
7100,global_age,112,1678,1790,0.06256983240223464,0.005724340291593556
4100,global_sex,50,1107,1157,0.043215211754537596,0.005978039415464784
4200,global_sex,4,252,256,0.015625,0.007751224544134543
7000,global_sex,31,1247,1278,0.024256651017214397,0.004303460221001577
7010,global_sex,66,1468,1534,0.04302477183833116,0.005180801539685284
7020,global_sex,16,407,423,0.037825059101654845,0.009275698951012459
7100,global_sex,53,1737,1790,0.029608938547486034,0.004006436811545077
4100,unscaled_age,47,1110,1157,0.04062229904926534,0.005803772494495535
4200,unscaled_age,0,256,256,0,0
7000,unscaled_age,65,1213,1278,0.05086071987480438,0.006145975122809124
7010,unscaled_age,35,1499,1534,0.022816166883963495,0.0038123854130459266
7020,unscaled_age,18,405,423,0.0425531914893617,0.00981416178754133
7100,unscaled_age,124,1666,1790,0.06927374301675977,0.006001624153790059
4100,unscaled_sex,6,1151,1157,0.005185825410544511,0.002111607756341817
4200,unscaled_sex,0,256,256,0,0
7000,unscaled_sex,10,1268,1278,0.00782472613458529,0.0024646959192916257
7010,unscaled_sex,4,1530,1534,0.002607561929595828,0.0013020800104340002
7020,unscaled_sex,0,423,423,0,0
7100,unscaled_sex,1,1789,1790,5.586592178770949e-4,5.585031460154441e-4
