network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
1,global_age,181,14801,14982,0.012081164063542918,8.92545012766278e-4
2,global_age,282,10280,10562,0.02669948873319447,0.0015685626399364247
3,global_age,324,12559,12883,0.025149421718543816,0.0013795089585364026
4,global_age,222,9060,9282,0.023917259211376857,0.0015859089131203508
5,global_age,34,1285,1319,0.02577710386656558,0.004363387960973278
6,global_age,424,9896,10320,0.04108527131782946,0.001953859026839101
7,global_age,886,20112,20998,0.04219449471378226,0.0013873230244916771
1,global_sex,277,14705,14982,0.018488853290615406,0.0011005701000368013
2,global_sex,257,10305,10562,0.02433251278167014,0.0014992405324538896
3,global_sex,250,12633,12883,0.019405417992703563,0.0012153398609701601
4,global_sex,431,8851,9282,0.04643395819866408,0.002184099700639716
5,global_sex,26,1293,1319,0.019711902956785442,0.0038275312315825378
6,global_sex,401,9919,10320,0.03885658914728682,0.0019023331917400559
7,global_sex,567,20431,20998,0.027002571673492713,0.001118586166860734
1,unscaled_age,94,14888,14982,0.006274195701508477,6.451005583087335e-4
2,unscaled_age,230,10332,10562,0.021776178754023857,0.001420158678299236
3,unscaled_age,94,12789,12883,0.00729643716525654,7.498194649308146e-4
4,unscaled_age,78,9204,9282,0.008403361344537815,9.474870006056169e-4
5,unscaled_age,20,1299,1319,0.015163002274450341,0.003364746732448354
6,unscaled_age,122,10198,10320,0.011821705426356589,0.0010639418036468853
7,unscaled_age,296,20702,20998,0.014096580626726356,8.135516131902964e-4
1,unscaled_sex,127,14855,14982,0.008476838873314645,7.490029004054742e-4
2,unscaled_sex,46,10516,10562,0.0043552357508047715,6.407446074637777e-4
3,unscaled_sex,79,12804,12883,0.006132112085694326,0.00068779793595464525
4,unscaled_sex,78,9204,9282,0.008403361344537815,9.474870006056169e-4
5,unscaled_sex,7,1312,1319,0.00530705079605762,0.0020005469320218154
6,unscaled_sex,84,10236,10320,0.00813953488372093,8.844743356076571e-4
7,unscaled_sex,112,20886,20998,0.005333841318220783,5.026547039050593e-4
